iteration,phase,config_source,description,parent_iteration,loss_type,loss_gamma,loss_alpha,use_class_weights,architecture,backbone,dropout_rate,head_type,head_hidden_features,head_dropout,batch_size,learning_rate,num_epochs,freeze_backbone,weight_decay,scheduler_type,scheduler_patience,scheduler_factor,scheduler_mode,early_stopping_enabled,early_stopping_patience,early_stopping_monitor,early_stopping_min_delta,rare_class_aug_enabled,threshold_optimization,auc_improvement_enabled,auc_improvement_strategy,hernia_oversample_enabled,hernia_oversample_factor,config_file,description
48,-,iteration_dir,"This iteration corrects a major issue where a fixed threshold of 0.5 was applied to all classes. Instead, we apply per-class optimized thresholds based on F1-score, which allows the model to detect more true positives for imbalanced and low-signal diseases. FocalLoss gamma was increased to 3.5 to increase focus on hard samples, and training length was extended to 60 epochs. Dropout was reduced to 0.2 to reduce underfitting.
",-,FocalLoss,2.50,0.5000,Yes,ModifiedDenseNetWithDropOut,densenet121,0.2000,-,-,-,64,0.0010,60,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-,-,-,-,config.yaml,"This iteration corrects a major issue where a fixed threshold of 0.5 was applied to all classes. Instead, we apply per-class optimized thresholds based on F1-score, which allows the model to detect more true positives for imbalanced and low-signal diseases. FocalLoss gamma was increased to 3.5 to increase focus on hard samples, and training length was extended to 60 epochs. Dropout was reduced to 0.2 to reduce underfitting.
"
49,-,iteration_dir,"This iteration corrects a major issue where a fixed threshold of 0.5 was applied to all classes. Instead, we apply per-class optimized thresholds based on F1-score, which allows the model to detect more true positives for imbalanced and low-signal diseases. FocalLoss gamma was increased to 3.5 to increase focus on hard samples, and training length was extended to 60 epochs. Dropout was reduced to 0.2 to reduce underfitting.
",-,FocalLoss,3.50,0.5000,Yes,ModifiedDenseNetWithDropOut,densenet121,0.3000,-,-,-,64,0.0001,60,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-,-,-,-,config.yaml,"This iteration corrects a major issue where a fixed threshold of 0.5 was applied to all classes. Instead, we apply per-class optimized thresholds based on F1-score, which allows the model to detect more true positives for imbalanced and low-signal diseases. FocalLoss gamma was increased to 3.5 to increase focus on hard samples, and training length was extended to 60 epochs. Dropout was reduced to 0.2 to reduce underfitting.
"
51,-,iteration_dir,Baseline configuration from v1.1 implementation,-,FocalLoss,3.00,0.7500,Yes,ModifiedDenseNetWithDropOut,densenet121,0.3000,-,-,-,64,0.0001,50,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-,-,-,-,config.yaml,Baseline configuration from v1.1 implementation
51,-,iteration_dir,Baseline configuration from v1.1 implementation,-,FocalLoss,3.00,0.7500,Yes,ModifiedDenseNetWithDropOut,densenet121,0.3000,-,-,-,64,0.0001,50,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-,-,-,-,config.yaml,Baseline configuration from v1.1 implementation
51,-,iteration_dir,Baseline configuration from v1.1 implementation,-,FocalLoss,3.00,0.7500,Yes,ModifiedDenseNetWithDropOut,densenet121,0.3000,-,-,-,64,0.0001,50,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-,-,-,-,config.yaml,Baseline configuration from v1.1 implementation
54,-,iteration_dir,Baseline configuration from v1.1 implementation,-,FocalLoss,3.00,0.7500,Yes,ModifiedDenseNetWithDropOut,densenet121,0.3000,-,-,-,64,0.0001,50,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-,-,-,-,config.yaml,Baseline configuration from v1.1 implementation
55,-,iteration_dir,Baseline configuration from v1.1 implementation,-,FocalLoss,3.00,0.7500,Yes,ModifiedDenseNetWithDropOut,densenet121,0.3000,-,-,-,64,0.0001,50,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-,-,-,-,config.yaml,Baseline configuration from v1.1 implementation
57,-,iteration_dir,Baseline configuration from v1.1 implementation,-,FocalLoss,3.00,0.7500,Yes,ModifiedDenseNetWithDropOut,densenet121,0.3000,-,-,-,64,0.0005,50,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-,-,-,-,config.yaml,Baseline configuration from v1.1 implementation
57,-,iteration_dir,Baseline configuration from v1.1 implementation,-,FocalLoss,3.00,0.7500,Yes,ModifiedDenseNetWithDropOut,densenet121,0.3000,-,-,-,64,0.0005,50,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-,-,-,-,config.yaml,Baseline configuration from v1.1 implementation
57,-,iteration_dir,Baseline configuration from v1.1 implementation,-,FocalLoss,3.00,0.7500,Yes,ModifiedDenseNetWithDropOut,densenet121,0.3000,-,-,-,64,0.0005,50,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-,-,-,-,config.yaml,Baseline configuration from v1.1 implementation
60,-,iteration_dir,Soften FocalLoss imbalance handling + Fix early_stopping to monitor val_f1 (from iteration 57 AI analysis),-,FocalLoss,2.00,0.7000,No,ModifiedDenseNetWithDropOut,densenet121,0.3000,-,-,-,64,0.0005,50,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,10,val_f1,0.0010,Yes,per_class_f1_score,-,-,-,-,config.yaml,Soften FocalLoss imbalance handling + Fix early_stopping to monitor val_f1 (from iteration 57 AI analysis)
61,-,iteration_dir,Soften FocalLoss imbalance handling + Fix early_stopping to monitor val_f1 (from iteration 57 AI analysis),-,FocalLoss,2.00,0.7000,No,ModifiedDenseNetWithDropOut,densenet121,0.3000,-,-,-,64,0.0005,50,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,10,val_f1,0.0010,Yes,per_class_f1_score,-,-,-,-,config.yaml,Soften FocalLoss imbalance handling + Fix early_stopping to monitor val_f1 (from iteration 57 AI analysis)
62,-,iteration_dir,Soften FocalLoss imbalance handling + Fix early_stopping to monitor val_f1 (from iteration 57 AI analysis),-,FocalLoss,2.00,0.7000,No,ModifiedDenseNetWithDropOut,densenet121,0.3000,-,-,-,64,0.0005,50,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,10,val_f1,0.0010,Yes,per_class_f1_score,-,-,-,-,config.yaml,Soften FocalLoss imbalance handling + Fix early_stopping to monitor val_f1 (from iteration 57 AI analysis)
